------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.4 Firmware v1.7.2 date format M/d/yyyy at 100 Hz  Filter Normal -----------
Serial Number: TAS1H50200818
Start Time 17:49:00
Start Date 5/1/2023
Epoch Period (hh:mm:ss) 00:00:00
Download Time 18:06:21
Download Date 5/1/2023
Current Memory Address: 0
Current Battery Voltage: 4.21     Mode = 12
--------------------------------------------------
Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z
5/1/2023 17:49:00.000,-0.309,0.105,0.941
5/1/2023 17:49:00.010,-0.289,0.098,0.953
5/1/2023 17:49:00.020,-0.281,0.094,0.953
5/1/2023 17:49:00.030,-0.277,0.102,0.957
5/1/2023 17:49:00.040,-0.273,0.098,0.957
5/1/2023 17:49:00.050,-0.281,0.102,0.961
5/1/2023 17:49:00.060,-0.281,0.102,0.957
5/1/2023 17:49:00.070,-0.281,0.102,0.973
5/1/2023 17:49:00.080,-0.285,0.09,0.977
5/1/2023 17:49:00.090,-0.281,0.086,0.98
5/1/2023 17:49:00.100,-0.293,0.082,0.984
5/1/2023 17:49:00.110,-0.293,0.074,0.988
5/1/2023 17:49:00.120,-0.285,0.078,0.992
5/1/2023 17:49:00.130,-0.289,0.086,1
5/1/2023 17:49:00.140,-0.277,0.086,0.992
5/1/2023 17:49:00.150,-0.273,0.086,0.984
5/1/2023 17:49:00.160,-0.273,0.086,0.973
5/1/2023 17:49:00.170,-0.266,0.09,0.953
5/1/2023 17:49:00.180,-0.262,0.098,0.941
5/1/2023 17:49:00.190,-0.262,0.102,0.93
5/1/2023 17:49:00.200,-0.27,0.102,0.926
5/1/2023 17:49:00.210,-0.266,0.105,0.922
5/1/2023 17:49:00.220,-0.27,0.109,0.914
5/1/2023 17:49:00.230,-0.273,0.105,0.91
5/1/2023 17:49:00.240,-0.273,0.113,0.91
5/1/2023 17:49:00.250,-0.277,0.117,0.906
5/1/2023 17:49:00.260,-0.277,0.117,0.914
5/1/2023 17:49:00.270,-0.277,0.117,0.922
5/1/2023 17:49:00.280,-0.277,0.121,0.926
5/1/2023 17:49:00.290,-0.281,0.121,0.934
5/1/2023 17:49:00.300,-0.277,0.113,0.938
5/1/2023 17:49:00.310,-0.277,0.117,0.941
5/1/2023 17:49:00.320,-0.273,0.117,0.949
5/1/2023 17:49:00.330,-0.273,0.117,0.957
5/1/2023 17:49:00.340,-0.273,0.117,0.957
5/1/2023 17:49:00.350,-0.281,0.109,0.965
5/1/2023 17:49:00.360,-0.281,0.105,0.973
5/1/2023 17:49:00.370,-0.281,0.105,0.969
5/1/2023 17:49:00.380,-0.281,0.094,0.965
5/1/2023 17:49:00.390,-0.281,0.09,0.961
5/1/2023 17:49:00.400,-0.277,0.09,0.957
5/1/2023 17:49:00.410,-0.273,0.09,0.961
5/1/2023 17:49:00.420,-0.273,0.09,0.961
5/1/2023 17:49:00.430,-0.273,0.094,0.965
5/1/2023 17:49:00.440,-0.273,0.098,0.961
5/1/2023 17:49:00.450,-0.273,0.098,0.957
5/1/2023 17:49:00.460,-0.27,0.102,0.953
5/1/2023 17:49:00.470,-0.266,0.094,0.945
5/1/2023 17:49:00.480,-0.27,0.09,0.945
5/1/2023 17:49:00.490,-0.27,0.09,0.949
5/1/2023 17:49:00.500,-0.281,0.086,0.949
5/1/2023 17:49:00.510,-0.273,0.086,0.961
5/1/2023 17:49:00.520,-0.273,0.086,0.957
5/1/2023 17:49:00.530,-0.277,0.086,0.957
5/1/2023 17:49:00.540,-0.277,0.09,0.957
5/1/2023 17:49:00.550,-0.277,0.094,0.961
5/1/2023 17:49:00.560,-0.277,0.094,0.961
5/1/2023 17:49:00.570,-0.281,0.102,0.969
5/1/2023 17:49:00.580,-0.277,0.109,0.969
5/1/2023 17:49:00.590,-0.285,0.109,0.98
5/1/2023 17:49:00.600,-0.285,0.109,0.98
5/1/2023 17:49:00.610,-0.285,0.113,0.973
5/1/2023 17:49:00.620,-0.281,0.117,0.973
5/1/2023 17:49:00.630,-0.285,0.113,0.965
5/1/2023 17:49:00.640,-0.289,0.113,0.961
5/1/2023 17:49:00.650,-0.285,0.113,0.949
5/1/2023 17:49:00.660,-0.289,0.117,0.941
5/1/2023 17:49:00.670,-0.289,0.117,0.941
5/1/2023 17:49:00.680,-0.293,0.121,0.941
5/1/2023 17:49:00.690,-0.289,0.121,0.941
5/1/2023 17:49:00.700,-0.289,0.121,0.941
5/1/2023 17:49:00.710,-0.285,0.125,0.938
5/1/2023 17:49:00.720,-0.289,0.121,0.934
5/1/2023 17:49:00.730,-0.293,0.121,0.941
5/1/2023 17:49:00.740,-0.293,0.117,0.938
5/1/2023 17:49:00.750,-0.293,0.117,0.938
5/1/2023 17:49:00.760,-0.297,0.117,0.938
5/1/2023 17:49:00.770,-0.297,0.113,0.941
5/1/2023 17:49:00.780,-0.301,0.121,0.949
5/1/2023 17:49:00.790,-0.297,0.121,0.949
5/1/2023 17:49:00.800,-0.297,0.121,0.945
5/1/2023 17:49:00.810,-0.293,0.117,0.949
5/1/2023 17:49:00.820,-0.293,0.121,0.945
5/1/2023 17:49:00.830,-0.289,0.121,0.945
