time [s],NN_interval [s/256](/api/datatype/318/)
1276.375,121
1276.84375,120
1277.3203125,122
1277.7890625,120
1278.265625,122
1278.75,124
1279.2265625,122
1279.7109375,124
1280.1953125,124
1280.671875,122
1281.14453125,121
1281.62109375,122
1282.09375,121
1282.56640625,121
1283.03125,119
1283.48046875,115
1283.98046875,128
1406.09375,121
1406.56640625,121
1407.04296875,122
1407.515625,121
1407.984375,120
1408.4453125,118
1408.91796875,121
1409.375,117
1409.83984375,119
1410.30078125,118
1410.765625,119
1411.23046875,119
1411.70703125,122
1412.18359375,122
1412.6796875,127
1413.203125,134
1413.75,140
1414.29296875,139
1414.83203125,138
1415.3671875,137
1415.88671875,133
1416.390625,129
1416.91015625,133
1417.37890625,120
1417.86328125,124
1418.3515625,125
1418.8359375,124
1419.32421875,125
1419.81640625,126
1420.3125,127
1420.8046875,126
1421.3046875,128
1421.8046875,128
1958.3671875,115
1958.81640625,115
1959.26171875,114
1959.70703125,114
1960.15234375,114
1960.59375,113
1961.03515625,113
1961.46484375,110
1961.90625,113
1962.3359375,110
1962.7734375,112
1963.20703125,111
1963.63671875,110
1964.07421875,112
1964.515625,113
1964.921875,104
1965.375,116
1965.8203125,114
1966.2578125,112
1966.703125,114
1967.14453125,113
1992.10546875,113
1992.5390625,111
1992.953125,106
1993.41015625,117
1993.8515625,113
1994.28515625,111
1994.69921875,106
1995.16015625,118
1995.6015625,113
1996.046875,114
1996.48828125,113
1996.94140625,116
1997.390625,115
1997.84765625,117
2040.4453125,114
2040.890625,114
2041.33203125,113
2041.78125,115
2042.23046875,115
2042.6796875,115
2043.12890625,115
2043.5859375,117
2044.04296875,117
2044.49609375,116
2044.94921875,116
2045.41015625,118
2045.8671875,117
2046.32421875,117
2046.76953125,114
2047.21484375,114
2047.671875,117
2048.125,116
2048.57421875,115
2049.0234375,115
2049.4765625,116
2049.92578125,115
2050.37890625,116
2050.828125,115
2051.27734375,115
2051.73046875,116
2052.1796875,115
2052.6328125,116
2053.08203125,115
2053.53125,115
2053.98046875,115
2054.4375,117
2054.890625,116
2055.3515625,118
2055.81640625,119
2056.2890625,121
2056.7578125,120
2057.23046875,121
2057.71875,125
2058.234375,132
2058.74609375,131
2059.26171875,132
2059.79296875,136
