time [s],RR_interval_quality [NA](/api/datatype/1004/)
5.1484375,129
6.44140625,129
7.58984375,129
8.46875,129
9.39453125,129
9.74609375,129
11.21484375,129
11.546875,1
12.4609375,1
13.171875,129
13.875,129
14.31640625,129
15.7578125,1
16.7421875,1
17.00390625,129
17.97265625,1
18.296875,129
19.28515625,1
19.57421875,129
20.171875,129
20.6796875,129
22.06640625,129
22.9140625,1
24.1953125,129
24.61328125,129
24.92578125,129
25.71484375,1
25.9921875,129
26.578125,129
27.1484375,1
27.984375,1
28.8828125,1
29.30078125,129
30.16796875,1
31.203125,129
31.83984375,1
32.109375,129
32.75390625,1
33.546875,1
34.2734375,1
34.9296875,1
35.66796875,1
36.28125,1
36.83203125,1
37.59765625,1
38.265625,1
38.57421875,129
38.96484375,129
39.484375,129
40.19921875,1
40.8046875,1
42.03125,129
42.3515625,129
42.796875,129
43.60546875,1
44.15234375,1
44.8125,1
45.94921875,129
46.671875,1
47.28515625,1
47.81640625,129
48.47265625,1
49.0703125,1
49.68359375,1
50.24609375,1
50.8671875,1
51.46484375,1
52.0390625,1
52.62890625,1
53.17578125,1
53.70703125,1
54.33203125,1
54.87890625,1
55.44140625,1
56.0078125,1
56.5703125,1
57.13671875,1
57.6484375,1
58.23046875,1
58.7734375,1
59.25390625,1
59.8515625,1
60.37890625,1
60.97265625,1
61.5625,1
62.11328125,1
62.6640625,1
63.22265625,1
63.79296875,1
64.33984375,1
64.8984375,1
65.43359375,1
65.99609375,1
66.546875,1
67.0859375,1
67.64453125,1
68.21875,1
68.87890625,1
69.33203125,129
69.82421875,1
70.23046875,129
70.7578125,1
71.3359375,1
71.8828125,1
72.96484375,129
73.51953125,1
74.06640625,1
74.60546875,1
75.13671875,1
75.67578125,1
76.203125,1
76.73828125,1
77.29296875,1
77.84765625,1
78.3828125,1
78.921875,1
79.52734375,1
80.09765625,1
80.59765625,1
81.16015625,1
81.703125,1
82.65625,129
83.0703125,129
83.55078125,1
84.1640625,1
84.7578125,1
85.23046875,1
85.8125,1
86.3671875,1
86.91796875,1
87.44140625,1
87.9921875,1
88.53515625,1
89.06640625,1
89.59765625,1
90.109375,1
90.6796875,1
91.2265625,1
91.7890625,1
92.33984375,1
92.890625,1
93.4375,1
93.984375,1
94.51171875,1
95.078125,1
95.59375,1
96.13671875,1
96.66796875,1
97.21875,1
97.7890625,1
98.296875,1
98.84765625,1
99.38671875,1
99.90234375,1
100.48828125,1
101.03125,1
101.55859375,1
102.11328125,1
102.6328125,1
103.140625,1
103.71484375,1
104.234375,1
104.79296875,1
105.3515625,1
105.8828125,1
106.453125,1
107.0078125,1
107.5,1
108.0703125,1
108.625,1
109.16796875,1
109.78515625,1
110.24609375,129
110.88671875,1
111.3359375,129
112.125,129
112.4921875,129
113.03515625,1
113.53125,1
114.328125,129
114.66015625,129
115.203125,1
115.7890625,1
116.35546875,1
116.90234375,1
117.453125,1
117.99609375,1
118.54296875,1
119.09765625,1
119.65625,1
120.18359375,1
120.73828125,1
121.28125,1
121.828125,1
122.38671875,1
122.91796875,1
123.48828125,1
124.06640625,1
124.60546875,1
125.17578125,1
125.7109375,1
126.28515625,1
126.81640625,1
127.37109375,1
127.9140625,1
128.6015625,1
129.33203125,129
130.07421875,129
130.5859375,1
131.55078125,129
131.85546875,129
132.9140625,129
133.6953125,129
134.21875,1
134.72265625,1
135.63671875,129
136.24609375,1
137.03515625,1
137.61328125,1
138.06640625,129
138.64453125,129
139.21875,1
139.92578125,1
140.4609375,1
141.6171875,129
143.09765625,129
143.98828125,129
144.265625,129
145.2734375,129
146.12890625,1
146.74609375,1
147.37890625,1
148.04296875,1
148.61328125,1
149.1953125,1
149.7578125,1
150.328125,1
150.85546875,1
151.4765625,1
152.046875,1
152.59765625,1
153.15625,1
153.7421875,1
154.296875,1
154.87109375,1
155.42578125,1
156.02734375,1
156.57421875,1
157.14453125,1
157.69921875,1
158.2734375,1
158.87109375,1
159.47265625,1
160.03515625,1
160.63671875,1
161.234375,1
161.8046875,1
162.375,1
162.94140625,1
163.5078125,1
164.09765625,1
164.6796875,1
165.2578125,1
165.81640625,1
166.37109375,1
166.9453125,1
167.515625,1
168.07421875,1
168.6328125,1
169.19140625,1
169.76171875,1
170.32421875,1
170.8984375,1
171.4609375,1
172.015625,1
172.59375,1
173.15234375,1
173.71484375,1
174.28515625,1
174.84375,1
175.42578125,1
175.96875,1
176.50390625,1
177.10546875,1
177.7109375,1
178.265625,1
178.8046875,1
179.359375,1
179.94921875,1
180.51953125,1
181.078125,1
181.63671875,1
182.234375,1
182.77734375,1
183.32421875,1
183.9296875,1
184.48046875,1
185.02734375,1
185.58203125,1
186.18359375,1
186.703125,1
187.3125,1
187.890625,1
188.4375,1
189.03125,1
189.609375,1
190.17578125,1
190.71875,1
191.87109375,129
192.4296875,1
192.95703125,1
193.48828125,1
194.12109375,1
194.67578125,1
195.24609375,1
195.82421875,1
196.35546875,1
196.91796875,1
197.45703125,1
197.98046875,1
198.5859375,1
199.15234375,1
199.70703125,1
200.27734375,1
200.83203125,1
201.39453125,1
201.97265625,1
202.5234375,1
203.11328125,1
203.671875,1
204.23046875,1
204.8125,1
205.3671875,1
205.94921875,1
206.50390625,1
207.09765625,1
207.64453125,1
208.24609375,1
208.78125,1
209.35546875,1
209.91015625,1
210.45703125,1
211.046875,1
211.6328125,1
212.19921875,1
212.78125,1
213.34375,1
213.91796875,1
214.4609375,1
214.73046875,129
215.1171875,129
215.65234375,1
215.90625,129
216.296875,129
217.03515625,129
217.578125,1
218.11328125,1
218.6875,1
219.25390625,1
219.91796875,1
220.4765625,1
221.046875,1
221.58984375,1
222.140625,1
222.6953125,1
223.28125,1
223.828125,1
224.36328125,1
224.94140625,1
225.5078125,1
226.0703125,1
