time [s],expiration [NA](/api/datatype/35/)
2.984375,22843
4.421875,22814
6.0625,22814
7.609375,22809
11.140625,22791
13.59375,22800
15.6875,22812
17.7421875,22825
20.296875,22856
22.40625,22861
25.5,22871
27.5546875,22872
29.859375,22859
32.3828125,22837
35.90625,22800
37.140625,22789
39.4296875,22795
42.5859375,22770
45.90625,22838
48.0625,22802
50.515625,22856
55.078125,22843
56.8125,22848
59.0,22853
60.671875,22852
62.9296875,22848
64.921875,22846
67.1328125,22855
69.28125,22855
71.078125,22854
74.15625,22852
76.59375,22846
78.453125,22835
81.6171875,22831
84.421875,22832
87.03125,22847
89.6953125,22849
92.4375,22852
95.125,22844
97.1640625,22853
99.265625,22850
102.3828125,22848
104.6015625,22858
106.625,22861
108.9296875,22847
111.25,22860
112.8203125,22836
115.125,22860
117.8671875,22856
120.71875,22842
124.4296875,22843
126.4609375,22860
128.953125,22858
130.296875,22849
132.4453125,22855
134.328125,22865
135.9296875,22867
137.921875,22861
139.7265625,22868
141.3984375,22868
143.203125,22861
144.6484375,22855
146.3046875,22856
148.3125,22880
150.1640625,22876
151.921875,22878
153.8046875,22874
155.6484375,22869
157.640625,22877
159.2890625,22879
161.84375,22870
164.703125,22870
166.3359375,22868
168.765625,22859
171.0078125,22856
172.7734375,22858
174.8984375,22872
177.0859375,22869
179.4140625,22869
180.6953125,22869
183.5703125,22858
185.140625,22844
187.2265625,22865
189.3515625,22863
191.078125,22847
192.8515625,22848
194.359375,22866
195.5234375,22851
198.296875,22848
199.5703125,22850
201.28125,22867
204.375,22869
208.1484375,22884
209.4765625,22859
211.109375,22862
213.1640625,22827
214.3125,22852
216.8046875,22877
220.0234375,22859
223.796875,22865
225.21875,22870
227.03125,22860
229.15625,22857
230.625,22862
231.859375,22867
233.71875,22872
235.71875,22826
239.9453125,22852
242.5625,22860
244.625,22856
246.8203125,22854
249.03125,22856
251.125,22868
253.6015625,22854
256.0390625,22863
258.375,22857
260.96875,22852
263.75,22857
265.765625,22851
267.765625,22851
270.6796875,22843
272.9296875,22848
275.4296875,22851
278.7421875,22837
282.171875,22845
284.828125,22844
287.03125,22845
289.390625,22851
291.8515625,22848
294.5859375,22844
297.5546875,22848
298.9921875,22842
300.5078125,22862
302.2890625,22861
304.4921875,22859
306.171875,22860
307.1875,22860
307.875,22858
308.84375,22851
309.9609375,22860
311.0390625,22868
312.1171875,22866
313.2578125,22841
315.109375,22890
317.71875,22889
320.1640625,22872
322.0859375,22857
324.0,22873
326.3046875,22849
328.7421875,22872
330.78125,22863
335.0546875,22851
336.6953125,22862
339.0703125,22870
340.078125,22867
342.046875,22879
344.171875,22886
345.3359375,22867
347.203125,22866
349.234375,22883
351.5703125,22876
353.375,22877
355.71875,22871
358.3203125,22856
361.90625,22860
365.859375,22878
367.71875,22867
369.859375,22859
372.15625,22870
373.6484375,22871
377.3125,22875
378.8046875,22870
381.0078125,22862
384.2734375,22860
386.5703125,22860
388.7421875,22868
390.9375,22861
393.078125,22862
395.1953125,22884
397.2734375,22861
398.4609375,22849
402.4921875,22857
404.578125,22865
409.4296875,22884
411.46875,22877
415.5,22873
417.53125,22867
419.65625,22876
421.5234375,22866
423.5,22870
425.109375,22879
426.8984375,22865
430.8359375,22887
431.9609375,22897
432.8671875,22890
433.875,22895
435.015625,22875
436.9921875,22880
438.9921875,22877
440.4921875,22886
443.0234375,22865
445.2109375,22872
447.1328125,22899
450.109375,22900
451.28125,22889
453.34375,22871
455.28125,22864
457.484375,22867
459.890625,22866
463.6328125,22898
465.34375,22884
467.5390625,22877
469.375,22884
472.046875,22887
478.3671875,22887
480.28125,22884
483.6640625,22884
485.78125,22898
491.6328125,22892
494.1328125,22886
495.875,22877
498.8984375,22888
500.9140625,22879
502.4609375,22886
504.078125,22888
505.015625,22892
506.046875,22878
507.875,22883
509.1484375,22894
511.203125,22904
512.2890625,22894
513.234375,22899
514.375,22878
515.2734375,22896
516.40625,22885
518.3203125,22895
519.3515625,22899
520.4609375,22887
522.375,22878
523.3359375,22900
524.3515625,22907
525.4609375,22900
526.359375,22904
527.359375,22894
529.3515625,22888
530.375,22908
531.390625,22883
532.3828125,22900
533.4375,22880
534.40625,22895
536.453125,22889
537.40625,22896
538.40625,22886
540.4296875,22865
541.484375,22891
543.4765625,22893
544.3671875,22901
545.3359375,22893
546.828125,22901
549.0625,22900
550.3125,22890
551.7890625,22904
552.375,22907
553.40625,22885
554.609375,22885
555.578125,22894
556.734375,22888
557.6484375,22892
558.671875,22900
560.7109375,22895
562.40625,22891
564.1953125,22885
565.84375,22883
567.890625,22898
568.9453125,22885
571.1640625,22879
573.09375,22886
574.671875,22886
576.2578125,22891
578.0859375,22885
580.0703125,22882
581.9921875,22884
583.6875,22893
585.6640625,22883
587.7578125,22891
588.8203125,22882
591.0234375,22880
593.0859375,22897
594.984375,22893
597.0625,22904
600.125,22912
601.6328125,22890
603.3671875,22883
605.3046875,22868
606.859375,22896
608.3984375,22879
610.3359375,22876
612.4921875,22873
614.4765625,22883
616.5625,22895
618.4765625,22898
620.171875,22894
623.59375,22877
625.890625,22844
628.4375,22890
631.3828125,22888
632.6328125,22903
634.484375,22888
635.53125,22895
636.5546875,22862
638.5703125,22853
640.5546875,22890
641.578125,22897
642.640625,22878
644.203125,22884
645.9453125,22877
647.5859375,22892
649.3046875,22892
650.515625,22874
652.3828125,22884
653.984375,22896
656.1328125,22892
657.2265625,22889
658.4375,22882
660.34375,22875
661.765625,22884
663.90625,22880
665.7734375,22892
667.6640625,22890
670.4375,22877
671.8828125,22863
674.1953125,22872
676.015625,22874
677.640625,22885
680.828125,22876
683.4765625,22885
685.7265625,22878
688.5546875,22895
692.765625,22893
694.5625,22897
696.6640625,22893
698.7734375,22889
700.6171875,22872
702.234375,22870
703.3203125,22887
704.3671875,22861
706.5703125,22869
707.671875,22857
709.5,22855
711.1796875,22857
713.1953125,22851
715.4296875,22878
716.5234375,22866
718.171875,22866
719.734375,22861
721.796875,22877
723.515625,22869
725.1875,22870
726.421875,22879
728.4765625,22879
729.734375,22869
731.7890625,22865
733.5234375,22886
734.890625,22870
736.2890625,22882
737.859375,22885
739.28125,22886
740.9140625,22884
742.328125,22886
743.921875,22881
745.1171875,22887
747.1640625,22867
748.9296875,22860
