time [s],inspiration [NA](/api/datatype/34/)
2.609375,22068
4.21875,22082
6.65625,22083
9.125,22094
11.96875,22063
13.6875,22078
16.0234375,22078
18.4140625,22075
21.4296875,22066
23.75,22069
26.5546875,22072
29.140625,22071
33.5,22082
35.7734375,22079
40.15625,22074
43.265625,22077
45.4375,22077
47.328125,22079
53.4140625,21998
55.875,21998
58.640625,22049
64.140625,22078
66.5703125,22067
69.2421875,22076
72.375,22084
74.875,22077
77.6953125,22084
81.3515625,22080
84.0078125,22074
86.8125,22079
90.734375,22085
92.96875,22088
95.703125,22086
98.3125,22088
101.78125,22071
103.578125,22078
105.859375,22101
108.2734375,22096
109.4375,22078
111.7578125,22070
113.5234375,22050
116.515625,22069
118.640625,22079
120.5390625,22066
123.4765625,22031
125.046875,22005
129.1640625,22043
131.265625,22048
134.7109375,22023
137.28125,22020
138.65625,22027
145.1015625,22086
146.75,22092
149.90625,22035
151.4453125,22061
156.3515625,22031
162.5546875,22050
166.0546875,22048
168.6171875,22025
171.3828125,22028
178.03125,22046
184.28125,22032
190.703125,22021
192.96875,22021
198.2421875,22052
200.9375,22122
203.2890625,22120
206.40625,22114
210.5390625,22096
212.4921875,22092
214.3671875,22115
216.4296875,22038
218.703125,22029
221.5234375,22034
224.1640625,22028
226.59375,22028
231.171875,22037
232.5703125,22039
236.8828125,22041
240.484375,22038
244.5234375,22040
247.5,22042
250.78125,22043
253.3515625,22041
255.8828125,22039
257.9921875,22029
260.75,22027
263.4921875,22057
266.390625,22032
269.7421875,22032
272.7734375,22032
277.21875,22052
279.953125,22045
282.921875,22059
285.1875,22058
287.515625,22056
290.234375,22072
292.640625,22087
295.140625,22087
298.59375,22080
300.609375,22078
303.3359375,22077
306.21875,22071
308.984375,22062
311.765625,22076
313.7578125,22071
316.65625,22069
318.40625,22083
320.9921875,22078
323.578125,22073
326.015625,22065
328.9453125,22070
331.546875,22072
334.6796875,22074
337.7578125,22088
339.390625,22078
340.984375,22081
343.03125,22082
345.1328125,22084
346.765625,22088
348.8984375,22089
350.9453125,22100
353.03125,22101
355.1015625,22099
356.6796875,22092
358.7734375,22094
360.84375,22096
363.0546875,22092
365.6640625,22094
367.75,22096
370.15625,22098
374.265625,22097
375.859375,22091
378.4296875,22111
380.3515625,22104
382.40625,22096
384.578125,22099
386.640625,22102
388.6875,22100
391.28125,22107
