time [s],RR_interval [s/256](/api/datatype/18/)
5.32421875,0
5.73828125,106
6.4765625,189
7.4453125,248
8.12890625,175
8.83984375,182
9.375,137
9.890625,132
11.109375,312
11.5625,116
12.14453125,149
12.6015625,117
12.90625,78
13.16796875,67
13.7109375,139
14.1328125,108
14.40234375,69
15.37109375,248
16.1328125,195
18.70703125,659
20.515625,463
21.66796875,295
22.23828125,146
23.828125,407
24.36328125,137
24.84765625,124
25.38671875,138
25.859375,121
26.37109375,131
26.71484375,88
27.52734375,208
28.0390625,131
28.59765625,143
29.20703125,156
30.09375,227
30.7578125,170
31.79296875,265
32.734375,241
33.02734375,75
34.1015625,275
34.7734375,172
35.51953125,191
35.953125,111
36.6484375,178
37.00390625,91
37.87890625,224
38.64453125,196
39.3046875,169
39.92578125,159
40.203125,71
40.71484375,131
41.86328125,294
42.79296875,238
43.11328125,82
43.921875,207
44.23828125,81
45.03515625,204
45.35546875,82
45.88671875,136
47.015625,289
47.62890625,157
48.10546875,122
49.00390625,230
49.40625,103
49.9296875,134
50.859375,238
52.06640625,309
52.6328125,145
54.1015625,376
54.7421875,164
55.125,98
55.828125,180
56.55859375,187
57.15234375,152
57.7734375,159
58.265625,126
58.83203125,145
59.64453125,208
60.1875,139
60.46875,72
60.92578125,117
61.7265625,205
62.30078125,147
62.82421875,134
63.34375,133
63.69140625,89
64.19921875,130
65.359375,297
65.72265625,93
67.10546875,354
67.65234375,140
69.1875,393
69.66796875,123
70.2109375,139
70.59375,98
71.3515625,194
71.68359375,85
72.0546875,95
72.953125,230
73.25,76
73.8359375,150
74.42578125,151
75.2734375,217
75.56640625,75
77.6171875,525
78.87890625,323
79.96484375,278
80.94140625,250
81.2265625,73
81.765625,138
83.05078125,329
83.37109375,82
83.8515625,123
84.41015625,143
85.921875,387
87.296875,352
87.91015625,157
89.4140625,385
90.7734375,348
91.08203125,79
91.90234375,210
92.76171875,220
93.7421875,251
94.16015625,107
95.09765625,240
95.53515625,112
95.87109375,86
96.3359375,119
97.34765625,259
98.29296875,242
98.8671875,147
99.41015625,139
100.65625,319
100.96875,80
101.328125,92
102.98828125,425
103.3984375,105
104.046875,166
104.73046875,175
105.5859375,219
106.1953125,156
107.0625,222
107.6796875,158
108.2109375,136
109.0234375,208
110.23046875,309
110.83203125,154
111.12109375,74
111.44140625,82
112.03125,151
112.8515625,210
113.21875,94
113.9140625,178
114.94921875,265
116.01171875,272
116.71484375,180
117.59375,225
117.890625,76
118.60546875,183
118.97265625,94
119.6640625,177
120.01171875,89
120.7109375,179
121.3984375,176
121.76171875,93
122.56640625,206
122.98828125,108
123.76171875,198
