time [s],step [Step](/api/datatype/52/)
0.875,1
1.609375,2
2.21875,3
2.578125,4
3.3125,5
3.546875,6
3.90625,7
6.296875,8
6.78125,9
7.421875,10
7.75,11
8.578125,12
9.140625,13
10.515625,14
11.015625,15
13.53125,16
15.453125,17
16.578125,18
16.796875,19
23.8125,20
25.359375,21
26.125,22
26.5,23
26.828125,24
27.578125,25
28.578125,26
29.140625,27
29.609375,28
30.40625,29
30.828125,30
32.703125,31
33.40625,32
34.46875,33
36.5,34
36.828125,35
40.328125,36
59.71875,37
60.359375,38
61.796875,39
62.59375,40
65.46875,41
66.078125,42
69.34375,43
196.921875,44
200.1875,45
262.640625,46
263.421875,47
264.375,48
264.953125,49
265.90625,50
266.34375,51
267.703125,52
269.421875,53
270.34375,54
270.984375,55
272.46875,56
273.34375,57
273.703125,58
274.5625,59
275.0,60
275.796875,61
276.28125,62
276.90625,63
277.609375,64
278.328125,65
278.875,66
279.53125,67
280.03125,68
280.765625,69
281.359375,70
282.015625,71
282.578125,72
283.28125,73
283.71875,74
284.53125,75
284.984375,76
285.734375,77
286.328125,78
286.96875,79
287.53125,80
288.21875,81
288.6875,82
289.453125,83
290.046875,84
290.71875,85
291.171875,86
291.921875,87
292.390625,88
293.1875,89
293.71875,90
294.375,91
294.859375,92
295.640625,93
296.1875,94
296.890625,95
297.328125,96
298.09375,97
298.578125,98
299.1875,99
299.71875,100
300.375,101
300.875,102
301.578125,103
302.203125,104
302.796875,105
303.390625,106
304.0625,107
304.640625,108
305.296875,109
305.75,110
306.53125,111
307.0625,112
307.75,113
308.234375,114
309.015625,115
310.328125,116
310.78125,117
311.59375,118
312.1875,119
312.875,120
313.328125,121
314.09375,122
314.6875,123
315.34375,124
315.765625,125
316.546875,126
317.09375,127
317.78125,128
318.203125,129
319.0,130
319.5625,131
320.25,132
320.71875,133
321.453125,134
322.171875,135
322.765625,136
323.265625,137
324.015625,138
324.46875,139
325.28125,140
325.84375,141
326.484375,142
326.953125,143
327.703125,144
328.296875,145
328.96875,146
329.515625,147
330.171875,148
330.640625,149
331.421875,150
332.0,151
332.625,152
333.203125,153
333.859375,154
334.421875,155
335.046875,156
335.515625,157
336.265625,158
336.703125,159
337.453125,160
337.921875,161
338.671875,162
339.265625,163
339.890625,164
340.46875,165
341.09375,166
341.734375,167
342.34375,168
342.90625,169
343.546875,170
344.140625,171
344.78125,172
345.28125,173
346.015625,174
346.46875,175
347.234375,176
347.84375,177
348.515625,178
349.03125,179
349.71875,180
350.15625,181
350.828125,182
351.53125,183
352.171875,184
352.671875,185
353.390625,186
353.84375,187
354.671875,188
355.203125,189
355.875,190
356.34375,191
368.1875,192
401.53125,193
472.125,194
472.828125,195
473.4375,196
473.953125,197
474.59375,198
475.140625,199
475.75,200
476.296875,201
476.90625,202
477.46875,203
478.0625,204
478.609375,205
479.25,206
479.796875,207
480.40625,208
480.953125,209
481.546875,210
482.09375,211
482.703125,212
483.234375,213
483.875,214
484.4375,215
485.078125,216
485.59375,217
486.21875,218
486.765625,219
487.375,220
487.953125,221
488.546875,222
489.09375,223
489.65625,224
490.21875,225
490.84375,226
491.390625,227
491.984375,228
492.515625,229
493.109375,230
493.703125,231
494.296875,232
494.84375,233
495.4375,234
495.96875,235
496.578125,236
497.171875,237
497.75,238
498.28125,239
498.875,240
499.421875,241
500.046875,242
500.609375,243
501.203125,244
501.734375,245
502.375,246
502.953125,247
503.515625,248
504.0625,249
504.65625,250
505.1875,251
505.8125,252
506.375,253
506.96875,254
507.515625,255
508.125,256
508.6875,257
509.28125,258
509.828125,259
510.421875,260
510.890625,261
511.59375,262
512.140625,263
512.765625,264
513.21875,265
513.921875,266
514.46875,267
515.078125,268
515.640625,269
516.21875,270
516.78125,271
517.375,272
517.90625,273
518.5,274
519.046875,275
519.671875,276
520.21875,277
520.828125,278
521.40625,279
521.984375,280
522.546875,281
523.171875,282
523.625,283
524.34375,284
524.90625,285
525.515625,286
526.078125,287
526.71875,288
527.25,289
528.109375,290
528.8125,291
529.484375,292
530.078125,293
530.671875,294
531.15625,295
531.890625,296
532.421875,297
533.03125,298
533.578125,299
534.171875,300
534.71875,301
535.3125,302
535.859375,303
536.46875,304
537.046875,305
537.640625,306
538.1875,307
538.765625,308
539.296875,309
539.9375,310
540.359375,311
